TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
1,20000,0.475,1.5,0.5,40,50,0,0,50
2,20000,0.475,1.5,0.5,40.20054208,50,0,0,50
3,20000.00009,0.474950247,1.500000001,0.500828957,40.27460508,50.00000001,0,0,49.99999984
4,19937.54554,0.475076237,1.491053325,0.503713511,40.16246504,50.00000002,0,0.186929707,50.10392422
5,19901.81765,0.475828308,1.488659266,0.503505503,40.01978953,50.00196673,0,0.841955888,50.16737252
6,19916.42708,0.476370981,1.493695939,0.505205388,40.0641087,50.00410439,0,0.815474456,50.14934609
7,19919.93888,0.477083535,1.493950435,0.505108913,40.30306049,50.00348386,0,1.21807888,50.14885112
8,19953.8133,0.477647087,1.497800217,0.506591776,40.05147547,50.00358695,0,1.224953384,50.097608
9,19990.88316,0.478365342,1.501395271,0.504800321,40.02598726,50.00616041,0,1.587437871,50.0388797
10,19897.20279,0.478567921,1.485626236,0.504479182,39.94690212,50.00842984,0,1.219719589,50.19534731
11,19616.21428,0.47881736,1.450151623,0.50221404,39.80294919,50.0119632,0,1.173704631,50.66949122
12,19381.09883,0.478808759,1.431658759,0.50374708,39.96608959,50.01619781,0,0.687550458,51.0852856
13,19186.37432,0.479101524,1.420333929,0.50009859,40.03159646,50.01463059,0,1.04542839,51.44891688
14,19075.77136,0.478583321,1.416244177,0.500384437,39.99066349,50.00336274,0,0.243302703,51.68503223
15,19112.10367,0.478175348,1.426838422,0.501641991,39.99278685,49.99171898,0,0.308303569,51.68372591
16,19099.22483,0.477954298,1.423252854,0.500748047,40.20528639,49.98034958,0,0.593996392,51.76198167
17,19176.2433,0.477657974,1.430596317,0.502329531,40.08244733,49.97043306,0,0.401442986,51.69147253
18,19177.07185,0.477654598,1.426406093,0.504275728,40.18601899,49.96579915,0,0.762181815,51.74281426
19,19264.88174,0.478105328,1.434987074,0.505003521,40.24684648,49.9587181,0,1.21386158,51.64936601
20,19481.55561,0.478521375,1.459800873,0.506327612,40.25975083,49.9546835,0,1.401495494,51.33586826
21,19628.00971,0.478934148,1.467960637,0.508584299,40.49022205,49.94810807,0,1.727597373,51.12534907
22,19808.50716,0.479761138,1.481614743,0.505966989,40.49389248,49.94493756,0,2.271282215,50.84880869
