序号,group_id,a1,a2,a3,a4,label,time
1,7,-0.945107,-2.18895,2.23437,-2.54824,1,1
2,7,-1.6359,3.8854,-6.35034,-1.54165,1,2
3,7,-0.845785,1.88872,2.64493,1.39784,1,3
4,7,4.84314,3.63512,0.0281446,-2.0291,1,4
5,7,-0.131788,0.608449,-2.1847,-0.0726988,1,5
6,7,-4.08199,-1.17103,1.2677,3.10259,1,6
7,7,4.15763,4.12469,0.0161387,-0.181374,1,7
8,7,0.331046,3.8717,0.914244,2.83105,1,8
9,7,-5.01486,2.07446,3.41846,-0.621687,1,9
10,7,1.58509,3.83794,0.464913,-4.86338,1,10
11,7,3.35869,-0.514283,-0.431678,1.31064,1,11
12,7,-0.220674,-4.70598,0.511126,0.43895,1,12
13,7,0.782208,0.0253211,1.10586,1.29017,1,13
14,7,-0.585139,5.6989,-2.85864,0.000942015,1,14
15,7,-3.14438,2.01142,0.591276,-1.73062,1,15
16,7,1.12414,-0.428192,2.40308,-0.837743,1,16
17,7,-2.17271,-4.66775,-8.49161,-3.61279,1,17
18,7,-3.10124,-5.92145,3.87012,0.369329,1,18
19,7,0.700244,-1.11897,5.41635,-2.1594,1,19
20,7,-0.871859,-0.664778,-1.35835,0.068098,1,20
21,7,-1.09683,1.54177,-2.732,1.9138,1,21
22,7,-1.95222,-0.719824,-0.73575,0.956791,1,22
23,7,-0.0674939,1.83489,0.715429,0.300573,1,23
24,7,2.21345,-2.40128,-2.51789,0.385175,1,24
25,7,1.50773,-2.96054,-1.20247,0.228362,1,25
26,7,3.34605,-2.12998,3.87453,-1.63161,1,26
27,7,-5.16116,-6.14489,3.10431,1.10437,1,27
28,7,4.53659,2.79276,-4.0462,0.813951,1,28
29,7,1.49144,-9.02608,-1.33946,3.37814,1,29
30,7,2.51549,2.01846,0.589604,-0.998753,1,30
31,7,5.67014,1.1212,-4.37468,-3.5481,1,31
32,7,-3.55582,1.89183,-8.87266,-1.50839,1,32
33,7,2.25604,-1.67878,5.72329,-0.969068,1,33
34,7,0.83605,-2.35328,4.75593,3.15574,1,34
35,7,-6.37328,0.528041,-2.35043,-1.03638,1,35
36,7,-2.54141,-2.30976,-4.64826,-0.383767,1,36
37,7,4.7511,1.15821,2.74919,4.20369,1,37
38,7,1.48044,1.64982,-2.13411,0.789722,1,38
39,7,-2.98389,0.901154,1.52136,-1.94411,1,39
40,7,-1.06036,0.494145,0.703131,-0.461171,1,40
41,7,-0.233872,5.082,-1.83654,2.733,1,41
42,7,0.529653,2.71005,5.26471,-4.72175,1,42
43,7,-5.62768,5.15508,2.29447,2.81486,1,43
44,7,4.04144,9.49971,-4.59198,-1.7971,1,44
45,7,-0.131295,5.59802,1.25482,-3.28379,1,45
46,7,0.958292,0.62918,-0.130142,2.03858,1,46
47,7,1.86266,1.34205,-2.04403,2.38463,1,47
48,7,1.29697,0.675954,-0.0284692,-2.30631,1,48
49,7,-1.62144,-0.523515,5.96084,2.61538,1,49
50,7,-8.11908,9.60655,3.19685,2.38592,1,50
51,7,10.5127,8.24357,-3.86895,-3.67929,1,51
52,7,8.8405,7.11582,-3.7761,-6.49541,1,52
53,7,2.57164,-0.102272,-4.07244,1.42112,1,53
54,7,-2.17276,-3.94689,7.27654,1.55012,1,54
55,7,-0.569992,3.44759,-0.262592,-1.6331,1,55
56,7,1.99346,-3.96614,-0.383031,-3.21304,1,56
57,7,-1.21954,6.60048,-4.07299,-3.03072,1,57
58,7,9.5895,4.18243,1.59556,-3.97591,1,58
59,7,-3.25964,1.8563,-5.62475,-3.22688,1,59
60,7,1.61624,-3.02156,-1.4649,-2.72575,1,60
61,7,0.468977,0.620904,2.88133,1.32166,1,61
62,7,-1.20733,4.78047,-3.07101,1.55587,1,62
63,7,4.91716,0.856539,0.0392503,-1.6579,1,63
64,7,-0.665664,-1.57344,0.0785671,-3.21103,1,64
65,7,0.192572,-5.25211,1.39096,1.72277,1,65
66,7,6.58871,-3.98499,5.00615,-0.545957,1,66
67,7,-0.258056,2.45976,0.660746,-1.76485,1,67
68,7,0.987303,-0.159492,0.311849,-13.3637,1,68
69,7,-5.91876,-5.20385,2.2325,-3.97146,1,69
70,7,-4.32183,1.47708,-1.09574,-2.43188,1,70
71,7,-3.46658,3.93133,0.35144,-0.520595,1,71
72,7,1.05541,0.231516,0.514919,-3.62555,1,72
73,7,-1.62649,-4.9815,1.65293,-18.7874,1,73
74,7,1.59749,2.37312,-4.67162,-7.69861,1,74
75,7,6.32696,1.04336,-3.33204,-1.70172,1,75
76,7,2.57581,-4.24842,-1.9406,-7.5307,1,76
77,7,-3.55004,0.0989175,0.748889,2.57385,1,77
78,7,3.89838,1.01502,5.14933,-8.85841,1,78
79,7,0.831654,0.747798,-0.856945,-5.02604,1,79
80,7,-4.80232,-2.79909,-1.94433,1.11282,1,80
81,7,1.48011,-11.9002,3.24841,-0.872835,1,81
82,7,4.10856,-0.7814,-3.1327,-5.33562,1,82
83,7,-2.43305,-3.10536,2.53585,-6.32261,1,83
