group_id,time,value
10,0,1,-0.0312589999999999
10,1,1,-0.0175069999999999
10,2,1,-0.0200289999999999
10,3,1,-0.011755
10,4,1,-0.012072
10,5,1,-0.007638
10,6,1,-0.0150009999999999
10,7,1,-0.021374
10,8,1,-0.02244
10,9,1,-0.0178639999999999
10,10,1,-0.0111209999999999
10,11,1,-0.0093239999999999
10,12,1,-0.017281
10,13,1,-0.023121
10,14,1,-0.026949
10,15,1,-0.021763
10,16,1,-0.0149229999999999
10,17,1,-0.009658
10,18,1,-0.012072
10,19,1,-0.018052
10,20,1,-0.022309
10,21,1,-0.0181069999999999
10,22,1,-0.020579
10,23,1,-0.01245
10,24,1,-0.017408
10,25,1,-0.009967
10,26,1,-0.0130689999999999
10,27,1,-0.0190229999999999
10,28,1,-0.01014
10,29,1,-0.02143
10,30,1,-0.018894
10,31,1,-0.02061
10,32,1,-0.019597
10,33,1,-0.014987
10,34,1,-0.01281
10,35,1,-0.013846
10,36,1,-0.015921
10,37,1,-0.018896
10,38,1,-0.022084
10,39,1,-0.016962
10,40,1,-0.01612
10,41,1,-0.0152639999999999
10,42,1,-0.017824
10,43,1,-0.025611
10,44,1,-0.019698
10,45,1,-0.018471
10,46,1,-0.009888
10,47,1,-0.011395
10,48,1,-0.020978
10,49,1,-0.020044
10,50,1,-0.021155
10,51,1,-0.0179639999999999
10,52,1,-0.010394
10,53,1,-0.014646
10,54,1,-0.015722
10,55,1,-0.019099
10,56,1,-0.023165
10,57,1,-0.019292
10,58,1,-0.010086
10,59,1,-0.007638
10,60,1,-0.017449
10,61,1,-0.0178949999999999
10,62,1,-0.024217
10,63,1,-0.022975
10,64,1,-0.017436
10,65,1,-0.016048
10,66,1,-0.009114
10,67,1,-0.023842
10,68,1,-0.025255
10,69,1,-0.023434
10,70,1,-0.012402
10,71,1,-0.013178
10,72,1,-0.0133099999999999
10,73,1,-0.017347
10,74,1,-0.028387
10,75,1,-0.021493
10,76,1,-0.01915
10,77,1,-0.014182
10,78,1,-0.012958
10,79,1,-0.01782
10,80,1,-0.026307
10,81,1,-0.024549
10,82,1,-0.016107
10,83,1,-0.013878
10,84,1,-0.012781
10,85,1,-0.014341
10,86,1,-0.02278
10,87,1,-0.021847
10,88,1,-0.018841
10,89,1,-0.012453
10,90,1,-0.0115459999999999
10,91,1,-0.018905
10,92,1,-0.019628
10,93,1,-0.020769
10,94,1,-0.0174
10,95,1,-0.017602
10,96,1,-0.014125
10,97,1,-0.017259
10,98,1,-0.021887
10,99,1,-0.019284
10,100,1,-0.017283
10,101,1,-0.019309
10,102,1,-0.016171
10,103,1,-0.017781
10,104,1,-0.018769
10,105,1,-0.019974
10,106,1,-0.013797
10,107,1,-0.00987
10,108,1,-0.015177
10,109,1,-0.019683
10,110,1,-0.025086
10,111,1,-0.027005
10,112,1,-0.015353
10,113,1,-0.014253
10,114,1,-0.009172
10,115,1,-0.01939
10,116,1,-0.029172
10,117,1,-0.02428
10,118,1,-0.016133
10,119,1,-0.006143
10,120,1,-0.005464
10,121,1,-0.0173669999999999
10,122,1,-0.025993
10,123,1,-0.017484
10,124,1,-0.022902
10,125,1,-0.012993
10,126,1,-0.007972
10,127,1,-0.01012
10,128,1,-0.017657
10,129,1,-0.022397
10,130,1,-0.021344
10,131,1,-0.017303
10,132,1,-0.007693
10,133,1,-0.011511
10,134,1,-0.02128
10,135,1,-0.023674
10,136,1,-0.023465
10,137,1,-0.02218
10,138,1,-0.006479
10,139,1,-0.008117
10,140,1,-0.003904
10,141,1,-0.020235
10,142,1,-0.021434
10,143,1,-0.022163
10,144,1,-0.027318
10,145,1,-0.0181759999999999
10,146,1,-0.0224639999999999
10,147,1,-0.012329
10,148,1,-0.019048
10,149,1,-0.018283
10,150,1,-0.009247
10,151,1,-0.015844
10,152,1,-0.010605
10,153,1,-0.015725
10,154,1,-0.016876
10,155,1,-0.017746
10,156,1,-0.010669
10,157,1,-0.029764
10,158,1,-0.018577
10,159,1,-0.0302029999999999
10,160,1,-0.00557
10,161,1,-0.006486
10,162,1,-0.0128139999999999
10,163,1,-0.029573
10,164,1,-0.027752
10,165,1,-0.026676
10,166,1,-0.0283709999999999
10,167,1,5.7e-05
10,168,1,-0.002784
10,169,1,-0.0142849999999999
10,170,1,-0.032417
10,171,1,-0.018203
10,172,1,-0.016508
10,173,1,-0.004318
10,174,1,-0.006201
10,175,1,-0.012038
10,176,1,-0.017855
10,177,1,-0.0290589999999999
10,178,1,-0.027587
10,179,1,-0.029812
10,180,1,-0.009916
10,181,1,-0.008062
10,182,1,-0.01937
10,183,1,-0.012888
10,184,1,-0.019108
10,185,1,-0.016322
10,186,1,-0.013233
10,187,1,-0.016666
10,188,1,-0.015584
10,189,1,-0.026969
10,190,1,-0.0273959999999999
10,191,1,-0.022174
10,192,1,-0.0123439999999999
10,193,1,-0.016611
10,194,1,-0.013899
10,195,1,-0.020901
10,196,1,-0.024975
10,197,1,-0.019167
10,198,1,-0.016171
