TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
1,20000,0.475,1.5,0.5,40,50,0,0,50
2,20000,0.475,1.5,0.5,39.72768841,50,0,0,50
3,20000.00009,0.474950247,1.500000001,0.494793021,39.97381362,50.00000001,0,0,49.99999984
4,20080.95067,0.47386905,1.511630688,0.495260942,40.1688179,50.00000002,1.174173726,0,49.86529808
5,20142.25035,0.473002603,1.516947168,0.497134851,40.34817132,50.00183555,1.097295985,0,49.75811457
6,20205.40016,0.47268827,1.521640144,0.499319261,40.47571003,50.00367815,0.700794349,0,49.64392926
7,20095.27978,0.472870219,1.502243513,0.499640575,40.26816525,50.00930443,0.223968253,0,49.81402397
8,20053.62185,0.473268343,1.500346974,0.500518616,40.40544511,50.01505942,0.155255829,0,49.87724486
9,20067.36367,0.473708648,1.507676383,0.501755708,40.55817459,50.02123119,0,0.040765582,49.85094668
10,19968.88707,0.47422457,1.493685004,0.503961434,40.5435054,50.02032596,0,0.322582169,50.01050045
11,19879.62541,0.475218086,1.484525462,0.502158174,40.48354663,50.02149216,0,0.829629669,50.16102308
12,19902.37008,0.475672832,1.493763088,0.502186741,40.53693946,50.02603836,0,0.444782442,50.13087993
13,19891.42141,0.475912513,1.492495249,0.500322298,40.14164633,50.02532011,0,0.463094369,50.15534684
14,19990.77283,0.475765947,1.505696084,0.500269946,39.98676173,50.02373508,0,0.054689485,49.9969751
15,19948.86322,0.47552708,1.495189557,0.500114299,40.11620436,50.02708854,0,0.044656845,50.06730323
16,19764.40185,0.475443882,1.468622295,0.497851482,40.08205886,50.02918659,0,0.011043111,50.37751969
17,19476.52054,0.475120935,1.438074948,0.497769937,40.13930341,50.03567314,0.498593637,0,50.87163249
18,19198.51525,0.47499226,1.4160815,0.50045072,39.53552246,50.03690827,0.528798739,0,51.36773598
19,18896.31017,0.475459474,1.392415091,0.501415894,39.04758833,50.03040116,0,0.063452397,51.92190025
20,18688.84347,0.476102159,1.38085341,0.502965521,38.82765249,50.01781368,0,0.28357815,52.33776098
21,18602.26337,0.47688209,1.380966691,0.501470409,38.77348954,50.0032789,0,0.640806463,52.56574429
22,18682.43932,0.477104103,1.395094905,0.500381982,38.82455317,49.98512751,0,0.319968945,52.52178666
23,18808.45974,0.476895612,1.406297288,0.502724719,38.71714265,49.96788635,0,0.08261605,52.39641256
24,18795.28108,0.477138857,1.395594803,0.503607947,38.6919105,49.95392269,0,0.613004051,52.49460042
25,18697.64841,0.477667809,1.3799845,0.503062371,38.35562128,49.94605744,0,0.827157958,52.7341632
26,18716.49448,0.478091716,1.385140962,0.501539438,38.38829094,49.94032134,0,0.723974177,52.78615385
27,18673.37283,0.477992872,1.379822594,0.503915377,38.79209742,49.92833973,0,0.397395826,52.94005263
28,18675.72561,0.478444676,1.379660476,0.502714362,38.95403245,49.91165482,0,0.94163703,53.02104173
29,18743.40243,0.478537277,1.387243895,0.505645002,38.83717999,49.89964065,0,0.692342688,52.99318107
30,18784.00259,0.479110573,1.388128052,0.508503434,38.5412399,49.88511119,0,1.368131048,53.00604464
31,18659.44744,0.480161858,1.369101496,0.513307233,38.19855837,49.87133479,0,2.04375503,53.29112824
32,18641.4169,0.482157299,1.3695881,0.512747738,38.59990517,49.86070137,0,3.173780645,53.40692643
33,18685.58289,0.483541457,1.376942184,0.516012564,38.532537,49.84923887,0,3.120804179,53.42038354
34,18757.77399,0.485208173,1.382771327,0.514039123,38.3450628,49.83010509,0,3.927135108,53.38438025
35,18679.62442,0.486116066,1.368455153,0.510471112,38.35811595,49.81450161,0,3.570193228,53.5939236
36,18528.23838,0.486297862,1.35084505,0.508333849,38.09017877,49.80228193,0,2.842821966,53.930334
37,18365.10884,0.486125089,1.337617526,0.509781232,37.80212537,49.79107428,0,2.418460163,54.29597431
38,18314.32193,0.486305346,1.338674644,0.50889286,37.47246203,49.77306359,0,2.790681204,54.48511675
39,18432.08695,0.48616526,1.355096238,0.509716942,37.50869097,49.75031706,0,2.644150067,54.39703916
40,18650.33458,0.486026219,1.375127217,0.510228826,37.66321665,49.72575525,0,2.878891314,54.13422153
41,18991.15049,0.485883957,1.403784802,0.51033642,37.67854161,49.7046625,0,3.047764413,53.65348245
42,19123.6605,0.485619607,1.40155194,0.508377587,37.60845037,49.69059316,0,3.128285339,53.49755216
43,19253.48008,0.485198316,1.405340994,0.505953364,37.84445987,49.68162776,0,2.743418948,53.33761811
44,19323.90648,0.484370872,1.407283269,0.506688928,37.92380072,49.67949006,0,2.242833242,53.26820585
45,19371.28755,0.483869175,1.408481454,0.503916286,37.83834798,49.67058773,0,2.441446425,53.23263373
46,19415.48366,0.482925079,1.411190095,0.498085887,37.98388873,49.66195082,0,1.853004732,53.199329
